seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
0,0.906,0.0000,state,unknown,Proventus Avenicci,0001A67D,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
1,0.906,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC COM [COM ],0,0.000,0.000,0.000,2.142,0.637,50.0000,17.687,-284.131,-124.774,-253.990,0.0000,0.0000,0.0000,-0.195,0.167,-2.127,-,-,-,0000000000000000,-,0,0,-,session_start
2,0.906,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Thigh [LThg],1,0.000,0.000,0.000,3.624,0.294,6.0000,20.487,-277.694,-126.483,-254.070,0.0000,0.0000,0.0000,-0.101,-2.307,2.793,-,-,-,0000000000000000,-,0,0,-,session_start
3,0.907,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Thigh [RThg],2,0.000,0.000,0.000,4.511,0.346,6.0000,20.487,-290.668,-124.140,-253.884,0.0000,0.0000,0.0000,-1.310,-2.850,3.242,-,-,-,0000000000000000,-,0,0,-,session_start
4,0.907,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine [Spn0],3,0.000,0.000,0.000,1.060,0.289,4.0000,17.297,-283.026,-119.792,-250.085,0.0000,0.0000,0.0000,-0.184,-0.219,-1.021,-,-,-,0000000000000000,-,0,0,-,session_start
5,0.907,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Calf [RClf],4,0.000,0.000,0.000,6.645,0.192,6.0000,19.675,-293.137,-123.203,-284.915,0.0000,0.0000,0.0000,-1.556,-2.913,5.766,-,-,-,0000000000000000,-,0,0,-,session_start
6,0.907,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Calf [LClf],5,0.000,0.000,0.000,6.098,0.175,6.0000,19.675,-274.782,-126.436,-285.042,0.0000,0.0000,0.0000,-1.028,-3.467,4.910,-,-,-,0000000000000000,-,0,0,-,session_start
7,0.907,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine1 [Spn1],6,0.000,0.000,0.000,0.888,0.204,4.0000,18.878,-283.033,-120.701,-241.347,0.0000,0.0000,0.0000,-0.372,0.432,-0.681,-,-,-,0000000000000000,-,0,0,-,session_start
8,0.907,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Foot [Lft ],7,0.000,0.000,0.000,2.110,1.386,3.0000,10.011,-272.031,-120.681,-311.654,0.0000,0.0000,0.0000,0.283,-1.761,-1.128,-,-,-,0000000000000000,-,0,0,-,session_start
9,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,0.000,0.000,0.000,3.273,1.648,3.0000,10.011,-293.219,-117.094,-311.628,0.0000,0.0000,0.0000,-1.299,-2.420,-1.781,-,-,-,0000000000000000,-,0,0,-,session_start
10,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine2 [Spn2],9,0.000,0.000,0.000,0.675,0.093,7.0000,23.052,-283.097,-119.348,-231.594,0.0000,0.0000,0.0000,-0.667,-0.097,-0.042,-,-,-,0000000000000000,-,0,0,-,session_start
11,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L UpperArm [LUar],10,0.000,0.000,0.000,0.917,0.055,2.0000,14.463,-269.929,-119.391,-215.866,0.0000,0.0000,0.0000,-0.572,-0.578,0.423,-,-,-,0000000000000000,-,0,0,-,session_start
12,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Neck [Neck],11,0.000,0.000,0.000,1.271,0.064,6.0000,8.431,-283.667,-118.861,-209.521,0.0000,0.0000,0.0000,-0.809,-0.979,0.051,-,-,-,0000000000000000,-,0,0,-,session_start
13,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R UpperArm [RUar],12,0.000,0.000,0.000,0.566,0.059,2.0000,14.463,-295.786,-115.389,-216.629,0.0000,0.0000,0.0000,-0.365,-0.430,-0.051,-,-,-,0000000000000000,-,0,0,-,session_start
14,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Head [Head],13,0.000,0.000,0.000,1.576,0.076,4.0000,15.108,-283.447,-121.273,-201.133,0.0000,0.0000,0.0000,-0.883,-1.292,-0.186,-,-,-,0000000000000000,-,0,0,-,session_start
15,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Forearm [LLar],14,0.000,0.000,0.000,1.010,0.030,2.0000,11.658,-264.153,-119.715,-234.482,0.0000,0.0000,0.0000,-0.824,-0.582,0.051,-,-,-,0000000000000000,-,0,0,-,session_start
16,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Forearm [RLar],15,0.000,0.000,0.000,0.565,0.061,6.0000,11.658,-300.341,-113.331,-235.443,0.0000,0.0000,0.0000,0.177,-0.481,-0.237,-,-,-,0000000000000000,-,0,0,-,session_start
17,0.908,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Hand [LHnd],16,0.000,0.000,0.000,1.247,0.067,4.0000,8.334,-271.444,-130.821,-242.973,0.0000,0.0000,0.0000,-1.173,-0.421,-0.047,-,-,-,0000000000000000,-,0,0,-,session_start
18,0.909,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Hand [RHnd],17,0.000,0.000,0.000,0.769,0.174,4.0000,8.334,-297.985,-126.736,-243.057,0.0000,0.0000,0.0000,0.586,-0.498,-0.001,-,-,-,0000000000000000,-,0,0,-,session_start
19,828.696,11.0506,state,ragdoll,Proventus Avenicci,0001A67D,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
20,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC COM [COM ],0,0.000,0.000,0.000,415.293,0.227,50.0000,17.687,-284.782,-124.912,-254.109,0.0000,0.0000,0.0000,57.733,392.061,124.189,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
21,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC L Thigh [LThg],1,0.000,0.000,0.000,342.931,1.442,6.0000,20.487,-278.275,-126.398,-254.226,0.0000,0.0000,0.0000,59.275,330.306,70.615,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
22,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC R Thigh [RThg],2,0.000,0.000,0.000,346.510,1.661,6.0000,20.487,-291.173,-124.031,-254.026,0.0000,0.0000,0.0000,44.037,336.421,70.363,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
23,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC Spine [Spn0],3,0.000,0.000,0.000,414.669,0.042,4.0000,17.297,-283.670,-119.944,-250.197,0.0000,0.0000,0.0000,56.783,385.830,140.928,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
24,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC R Calf [RClf],4,0.000,0.000,0.000,229.774,1.152,6.0000,19.675,-292.946,-121.940,-285.149,0.0000,0.0000,0.0000,29.011,227.676,10.853,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
25,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC L Calf [LClf],5,0.000,0.000,0.000,227.369,1.024,6.0000,19.675,-274.993,-125.280,-285.245,0.0000,0.0000,0.0000,43.317,222.917,11.334,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
26,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC Spine1 [Spn1],6,0.000,0.000,0.000,414.818,0.034,4.0000,18.878,-283.624,-120.690,-241.479,0.0000,0.0000,0.0000,55.536,378.231,161.029,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
27,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC L Foot [Lft ],7,0.000,0.000,0.000,133.041,1.938,3.0000,10.011,-272.032,-120.950,-312.113,0.0000,0.0000,0.0000,20.790,131.183,7.663,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
28,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,0.000,0.000,0.000,137.205,3.022,3.0000,10.011,-293.357,-117.323,-312.150,0.0000,0.0000,0.0000,19.299,135.485,9.834,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
29,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC Spine2 [Spn2],9,0.000,0.000,0.000,413.381,0.110,7.0000,23.052,-283.719,-119.510,-231.698,0.0000,0.0000,0.0000,53.225,367.263,182.123,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
30,828.696,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC L UpperArm [LUar],10,0.000,0.000,0.000,414.036,0.057,2.0000,14.463,-270.736,-120.683,-215.889,0.0000,0.0000,0.0000,84.362,366.045,174.127,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
31,828.697,11.0506,limb_sample,ragdoll,Proventus Avenicci,0001A67D,NPC Neck [Neck],11,0.000,0.000,0.000,411.288,0.150,6.0000,8.431,-284.504,-120.784,-209.698,0.0000,0.0000,0.0000,51.201,352.762,205.171,-,-,-,0000000000000000,-,0,0,-,ragdoll_start
