# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
51,27087.423,-,00079AEF,00079AF3,heavy,0,1,3.00,3,0,12,64,7,-874.578,477.669,-319.650
52,27301.071,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-850.498,522.310,-319.650
53,27335.300,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-882.823,464.249,-320.244
54,27675.352,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-793.337,510.459,-319.650
55,27833.277,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-792.394,511.609,-319.650
56,33109.287,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-346.702,863.627,-227.833
57,33276.374,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-352.615,864.700,-227.106
58,33319.595,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-364.094,815.879,-255.650
59,33565.038,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-340.618,845.161,-241.565
60,33583.839,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-361.998,806.880,-255.650
61,33763.363,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-378.799,811.139,-255.650
62,33783.562,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-375.231,832.934,-241.554
63,33938.502,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-386.337,822.578,-255.650
64,33938.506,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-386.337,831.692,-249.716
65,34095.509,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-387.858,831.777,-248.559
66,43498.943,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-353.643,774.992,-255.650
67,43660.565,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-354.816,800.208,-255.650
68,43679.837,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-399.377,831.692,-245.301
69,43808.339,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-444.891,775.807,-255.650
70,43826.968,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-399.985,831.692,-250.828
71,44045.575,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-356.828,767.580,-255.650
72,44045.579,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-356.828,767.849,-255.650
73,44210.666,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-353.345,770.726,-255.650
74,44211.364,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-323.039,758.628,-263.559
75,44361.622,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-354.461,767.801,-255.741
76,44361.627,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-354.461,776.691,-255.650
77,44545.269,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-433.852,783.324,-255.650
78,44867.098,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-397.785,831.692,-250.804
79,44946.583,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-385.312,786.414,-255.650
