# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
51,13460.644,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,427.674,2206.557,-77.514
52,13460.914,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,775.270,1962.438,-9.658
53,13460.914,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,775.270,1962.438,-9.658
54,13610.619,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,765.610,1956.860,-7.370
55,13610.622,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,765.610,1956.860,-7.370
56,13688.712,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,425.831,2214.485,-78.126
57,13773.306,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,774.129,1946.693,-13.655
58,13773.309,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,774.129,1946.693,-13.655
59,13863.501,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,415.358,2245.491,-77.469
60,15021.690,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,798.560,1931.696,-1.425
61,15021.693,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,798.560,1931.696,-1.425
62,15530.374,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,484.535,2127.313,6.302
63,15530.376,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,484.535,2127.313,6.302
64,15692.714,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,358.459,2118.447,24.904
65,15692.717,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,358.459,2118.447,24.904
66,15858.595,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,470.151,2109.734,-7.732
67,15858.598,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,470.151,2109.734,-7.732
