seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
0,0.954,0.0000,state,unknown,Proventus Avenicci,0001A67D,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,-,session_start
1,0.954,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC COM [COM ],0,0.000,0.000,0.000,31.946,0.888,0.0000,17.687,-309.934,-123.923,-249.146,0.0000,0.0000,0.0000,-31.796,-2.855,-1.195,-,-,-,0000000000000000,-,0,0,-,session_start
2,0.955,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Thigh [LThg],1,0.000,0.000,0.000,29.244,1.154,0.0000,20.487,-316.422,-125.203,-248.993,0.0000,0.0000,0.0000,-20.132,-21.197,-0.793,-,-,-,0000000000000000,-,0,0,-,session_start
3,0.955,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Thigh [RThg],2,0.000,0.000,0.000,32.913,1.855,0.0000,20.487,-303.445,-122.643,-249.298,0.0000,0.0000,0.0000,-31.725,8.666,-1.308,-,-,-,0000000000000000,-,0,0,-,session_start
4,0.955,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine [Spn0],3,0.000,0.000,0.000,30.636,0.835,0.0000,17.297,-308.928,-128.994,-245.259,0.0000,0.0000,0.0000,-30.302,-4.349,-1.189,-,-,-,0000000000000000,-,0,0,-,session_start
5,0.955,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Calf [RClf],4,0.000,0.000,0.000,30.638,1.859,0.0000,19.675,-299.073,-119.441,-284.399,0.0000,0.0000,0.0000,-23.527,19.626,0.126,-,-,-,0000000000000000,-,0,0,-,session_start
6,0.955,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Calf [LClf],5,0.000,0.000,0.000,46.650,1.155,0.0000,19.675,-317.138,-125.094,-284.574,0.0000,0.0000,0.0000,4.685,-46.406,0.870,-,-,-,0000000000000000,-,0,0,-,session_start
7,0.955,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC Spine1 [Spn1],6,0.000,0.000,0.000,28.447,1.111,0.0000,18.878,-308.747,-128.412,-236.532,0.0000,0.0000,0.0000,-26.732,-9.725,0.224,-,-,-,0000000000000000,-,0,0,-,session_start
8,0.955,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC L Foot [Lft ],7,0.000,0.000,0.000,58.191,0.294,0.0000,10.011,-316.099,-132.067,-311.612,0.0000,0.0000,0.0000,16.247,-55.621,5.337,-,-,-,0000000000000000,-,0,0,-,session_start
9,0.956,0.0000,limb_sample,unknown,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,0.000,0.000,0.000,38.631,3.022,0.0000,10.011,-295.663,-124.197,-311.648,0.0000,0.0000,0.0000,-29.379,25.082,0.330,-,-,-,0000000000000000,-,0,0,-,session_start
