seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
1,7364.073,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Hand [LHnd],16,9.086,9.086,6.765,18.403,1.719,4.0000,8.334,28.743,1624.862,-69.697,-0.1063,-0.8919,-0.4396,18.303,1.914,0.025,-,Skin,shape,0000020E2E584100,9,1,1,0,-
2,7364.074,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine2 [Spn2],9,9.086,9.086,6.765,6.208,0.339,7.0000,23.052,28.743,1624.862,-69.697,-0.1063,-0.8919,-0.4396,-3.318,-2.927,-4.354,-,Skin,shape,0000020E2E516800,16,1,1,0,-
3,7506.481,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Forearm [LLar],14,6.982,6.982,5.413,15.097,0.739,2.0000,11.658,26.319,1624.236,-67.322,-0.3016,-0.9277,-0.2199,14.724,-0.168,-3.329,-,Skin,shape,0000020E2E584100,9,1,1,0,-
4,7506.482,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine2 [Spn2],9,6.982,6.982,5.413,1.760,0.230,7.0000,23.052,26.319,1624.236,-67.322,-0.3016,-0.9277,-0.2199,-0.918,-0.878,-1.218,-,Skin,shape,0000020E2E516B00,14,1,1,0,-
5,7588.484,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine [Spn0],3,13.685,13.685,3.403,0.109,0.027,4.0000,17.297,36.105,1616.511,-73.718,0.9276,0.2898,0.2359,0.046,-0.036,-0.091,-,Skin,shape,0000020E2E516800,16,1,1,0,-
6,7588.485,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Hand [LHnd],16,13.685,13.685,3.403,14.336,0.476,4.0000,8.334,36.105,1616.511,-73.718,0.9276,0.2898,0.2359,14.251,1.559,-0.012,-,Skin,shape,0000020E2E584700,3,1,1,0,-
7,7736.182,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Head [Head],13,10.585,10.585,5.215,11.097,0.510,4.0000,15.108,18.672,1654.249,-78.000,-0.0000,0.0000,1.0000,-2.112,-3.237,-10.402,Static,Carpet,shape,0000020E28306B00,-,1,1,0,-
8,7798.741,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Forearm [LLar],14,9.035,9.035,8.563,14.610,0.706,2.0000,11.658,35.353,1621.253,-70.223,-0.6866,-0.7002,-0.1956,13.775,-3.446,-3.440,-,Skin,shape,0000020E2E584400,6,1,1,0,-
9,7798.743,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine1 [Spn1],6,9.035,9.035,8.563,1.515,0.124,4.0000,18.878,35.353,1621.253,-70.223,-0.6866,-0.7002,-0.1956,-1.031,-1.052,0.354,-,Skin,shape,0000020E2E516B00,14,1,1,0,-
10,9082.208,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine [Spn0],3,13.683,13.683,13.576,0.055,0.019,4.0000,17.297,39.562,1610.529,-73.716,0.7037,0.6700,0.2365,0.054,-0.005,0.008,-,Skin,shape,0000020E2E516800,16,1,1,0,-
11,9082.210,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Hand [LHnd],16,13.683,13.683,13.576,16.123,1.542,4.0000,8.334,39.562,1610.529,-73.716,0.7037,0.6700,0.2365,4.878,15.367,-0.018,-,Skin,shape,0000020E2E584700,3,1,1,0,-
12,9170.079,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Hand [LHnd],16,9.163,9.163,20.445,9.684,1.607,4.0000,8.334,39.528,1619.182,-71.263,-0.2552,-0.9175,-0.3049,1.918,9.492,0.032,-,Skin,shape,0000020E2E584400,6,1,1,0,-
