seq,t_ms,game_hour,event,phase,actor,actor_id,limb,limb_index,impact_speed,normal_speed,tangent_speed,body_speed,angular_speed,mass,limb_radius,pos_x,pos_y,pos_z,nrm_x,nrm_y,nrm_z,vel_x,vel_y,vel_z,other_layer,other_material,material_source,other_body,other_limb,manifold_first,manifold_last,dropped,state
1,100.000,0.0000,state,unknown,Proventus Avenicci,0001A67D,-,-,0.000,0.000,0.000,0.000,0.000,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-,-,-,0000000000000000,-,0,0,0,ragdoll_start
2,104.605,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Forearm [LLar],14,72.468,72.468,30.685,61.853,7.133,2.0000,11.658,-505.808,1829.993,12.766,0.8752,-0.2072,-0.4371,-55.480,-26.135,8.047,-,Skin,shape,000001E0B7712200,9,1,1,0,-
3,104.606,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine2 [Spn2],9,72.468,72.468,30.685,54.312,0.920,7.0000,23.052,-505.808,1829.993,12.766,0.8752,-0.2072,-0.4371,24.600,-48.119,5.411,-,Skin,shape,000001E0B7710D00,14,1,1,0,-
4,104.607,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Forearm [RLar],15,13.957,13.957,20.809,58.420,2.450,6.0000,11.658,-531.817,1835.189,2.194,-0.9456,0.2629,-0.1915,42.902,-39.644,0.844,-,Skin,shape,000001E0B7712500,6,1,1,0,-
5,104.607,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine1 [Spn1],6,13.957,13.957,20.809,65.685,0.738,4.0000,18.878,-531.817,1835.189,2.194,-0.9456,0.2629,-0.1915,37.934,-51.164,16.054,-,Skin,shape,000001E0B7711600,15,1,1,0,-
6,124.292,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC L Forearm [LLar],14,70.904,70.904,245.673,67.983,23.463,2.0000,11.658,-506.407,1831.518,5.804,0.9668,-0.1783,0.1829,3.595,-52.572,-42.952,-,Skin,shape,000001E0B7712500,6,1,1,0,-
7,124.293,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC Spine1 [Spn1],6,70.904,70.904,245.673,47.655,1.501,4.0000,18.878,-506.407,1831.518,5.804,0.9668,-0.1783,0.1829,28.239,-37.815,6.600,-,Skin,shape,000001E0B7710D00,14,1,1,0,-
8,179.326,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,189.742,189.742,287.338,229.309,17.719,3.0000,10.011,-517.432,1799.019,-79.650,-0.0000,0.0000,1.0000,-122.772,139.382,-134.471,Static,Wood,shape,000001E026936E00,-,1,1,0,-
9,179.865,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Foot [Rft ],8,18.017,18.017,151.584,221.435,13.903,3.0000,10.011,-519.496,1802.173,-79.751,0.0000,0.0000,1.0000,-144.388,163.281,-39.051,Static,Wood,shape,000001E0B27C6800,-,1,0,0,-
10,197.581,0.0000,impact,ragdoll,Proventus Avenicci,0001A67D,NPC R Calf [RClf],4,98.782,98.782,374.354,180.975,11.717,6.0000,19.675,-524.485,1810.866,-79.650,0.0000,0.0000,1.0000,-125.040,97.233,-87.537,Static,Wood,shape,000001E026936E00,-,1,1,0,-
