# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
1,121.941,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,262.382,2890.404,-14.120
2,454.665,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,273.148,3095.814,-9.441
3,623.819,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,239.774,3184.967,38.787
4,788.271,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,249.611,3268.415,80.346
5,1494.794,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,218.316,3679.948,297.715
6,1761.401,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,230.041,3839.803,382.945
7,1927.894,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,222.179,3840.159,383.159
8,2094.074,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,282.751,3840.318,383.103
9,2428.053,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,187.065,3873.880,402.815
10,2594.363,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,236.044,3815.127,369.852
11,2777.532,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,231.734,3886.621,404.768
12,2937.636,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,200.789,3874.585,402.923
13,3104.705,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,228.577,3839.980,383.128
14,3271.029,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,191.495,3884.554,404.451
15,3436.926,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,192.430,3891.468,405.511
16,3604.959,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,192.436,3891.497,405.515
17,3771.640,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,250.699,3839.853,383.030
18,3973.578,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,253.682,3839.858,383.037
19,4137.967,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,254.907,3839.833,383.016
20,4322.063,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,214.925,3840.149,383.159
21,4572.282,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,220.179,3850.147,383.649
22,4737.288,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,256.973,3867.601,393.174
23,5094.317,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,248.979,3840.227,383.145
24,5854.966,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,234.801,3867.180,387.122
25,6174.568,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,316.439,3732.614,328.847
26,6340.059,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,356.696,3625.769,269.775
27,6357.618,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,367.913,3617.494,274.809
28,6524.404,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,353.561,3476.178,230.964
29,6574.660,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,304.698,3485.939,194.284
30,6739.818,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,312.518,3400.961,157.575
31,7173.340,-,00079AEF,00079AF3,heavy,0,1,3.00,3,0,12,64,7,287.584,3086.097,-15.650
32,7340.629,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,220.664,2964.233,-15.650
33,7340.930,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,182.298,2935.612,-8.435
34,7458.098,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,268.147,2900.919,-14.120
35,7506.826,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,263.546,2902.545,-15.650
36,7641.367,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,284.535,2808.031,-14.120
37,7691.840,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,285.965,2796.381,-15.650
38,7808.894,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,285.619,2789.659,-14.120
39,7857.726,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,179.964,2798.754,-15.650
40,8040.556,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,253.300,2693.872,-14.120
41,8041.224,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,237.632,2666.179,-15.678
42,8256.285,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,276.152,2669.796,-15.678
43,8273.810,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,276.332,2672.416,-13.791
44,8422.628,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,197.853,2689.590,-15.650
45,8455.180,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,219.599,2676.007,-14.154
46,8588.907,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,211.381,2680.363,-15.650
47,8622.385,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,220.144,2671.983,-14.082
48,8822.204,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,219.635,2677.121,-14.142
49,8822.218,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,216.026,2678.510,-15.650
50,8987.561,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,221.039,2671.875,-15.700
51,8987.572,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,219.904,2694.300,-14.109
52,9157.081,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,236.566,2630.927,-15.678
53,9290.129,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,239.372,2693.852,-14.120
54,9322.192,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,238.630,2694.240,-15.650
55,9456.438,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,235.927,2695.313,-14.120
56,9489.926,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,235.157,2695.240,-15.650
57,9655.698,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,232.289,2689.691,-14.120
58,9655.715,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,232.289,2689.691,-15.650
59,9855.174,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,221.569,2717.217,-14.120
60,9855.189,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,221.569,2717.217,-15.650
61,10205.942,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,249.683,2661.467,-15.678
62,10405.411,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,226.273,2639.358,-15.769
63,10622.886,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,209.459,2671.914,-15.680
64,10922.822,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,222.279,2646.996,-15.678
65,11774.186,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,248.626,2671.333,-14.233
66,11774.735,-,00079AEF,00079AF3,heavy,0,1,3.00,3,0,12,64,7,252.178,2663.757,-15.678
67,12362.065,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,225.516,3095.079,-9.150
68,12362.086,-,00079AEF,00079AF3,heavy,0,1,3.00,3,0,12,64,7,224.109,3090.029,-15.650
69,12524.783,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,268.673,3236.791,66.738
70,12759.414,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,375.545,3305.551,224.765
71,12930.034,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,360.388,3435.603,281.060
72,13280.362,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,364.626,3606.330,426.274
73,13445.758,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,375.545,3680.932,367.842
74,13463.235,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,275.913,3732.538,328.837
75,13641.777,-,440B1D3C,440B1D3E,heavy,0,1,3.00,3,0,12,64,7,318.331,3788.161,354.693
76,13810.775,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,269.169,3814.338,369.536
77,13977.994,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,224.309,3762.511,337.898
78,14144.474,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,283.227,3814.614,364.714
79,14326.924,-,440B1D3D,440B1D3E,light,0,1,3.00,3,0,12,64,4,296.692,3814.570,365.436
