# Lining the impacts CSV up with the video.
#
# t_ms            this take's own clock - the column the impacts CSV also stamps
# obs_duration_ms OBS's output clock at that instant, in milliseconds
# rtt_ms          how long the round trip took, and so how much the row is worth
#
# video_time_ms = t_ms + offset. Fit the offset through the low-rtt rows rather
# than taking the first one: over a long take the two clocks drift apart, and a
# piecewise fit follows that where a single number cannot.
#
# Written by the devbench, which drove the recording itself - so the mp4 beside
# this file is OBS's whole output and the fitted offset needs no cut subtracted
# out of it. t_ms comes off the game's session clock read across the link, so a
# millisecond or two of the intercept is the socket rather than the picture; the
# slope is unaffected, because that error is the same on every row.
t_ms,obs_duration_ms,rtt_ms
-5980,0,0
-4979,733,0
-3978,1733,0
-2978,2733,0
-1977,3733,0
-976,4733,0
25,5733,0
1026,6733,0
2027,7733,0
3028,8733,0
4028,9733,0
5029,10733,0
6030,11733,0
7031,12733,0
8032,13733,0
9033,14733,0
10034,15749,0
11034,16749,0
12035,17749,0
13036,18749,0
14037,19749,0
15038,20749,0
16039,21749,0
17040,22749,0
18040,23749,0
19041,24749,0
20042,25749,0
21043,26749,0
22044,27749,0
23045,28749,0
24046,29766,0
25046,30749,0
26047,31749,0
27048,32749,0
28049,33749,0
29050,34749,0
30051,35749,0
31052,36766,0
32052,37766,0
33053,38766,0
34054,39766,0
35055,40766,0
36056,41766,0
37057,42766,0
38058,43766,0
39059,44766,0
40059,45766,0
41060,46766,0
42061,47766,0
43062,48766,0
44063,49766,0
45064,50766,0
46065,51783,0
47065,52783,0
48066,53783,0
49067,54766,0
50068,55783,0
51069,56783,0
52070,57783,0
53071,58783,0
54071,59783,0
55072,60783,0
56073,61783,0
57074,62783,0
58075,63783,0
59076,64783,0
60077,65783,0
61077,66783,0
62078,67783,0
63079,68783,0
64080,69783,0
65081,70783,0
66082,71783,0
67083,72783,0
68084,73783,0
69084,74799,0
70085,75799,0
71086,76799,0
72087,77799,0
73088,78799,0
74089,79799,0
75090,80799,0
76090,81799,0
77091,82799,0
78092,83799,0
79093,84799,0
80094,85799,0
81095,86799,0
82095,87799,0
83096,88816,0
84097,89799,0
85098,90799,0
86099,91799,0
87100,92799,0
88101,93799,0
89102,94816,0
90103,95816,0
91103,96816,0
92104,97816,0
93129,98816,48
94106,99816,0
95107,100816,0
96108,101799,0
97108,102799,0
98109,103799,0
99110,104816,0
100111,105816,0
101112,106816,0
102113,107816,0
103114,108816,0
104114,109816,0
105115,110816,0
106116,111816,0
107117,112816,0
108118,113816,0
109119,114816,0
110120,115816,0
111121,116816,0
112121,117816,0
113122,118833,0
114123,119833,0
115124,120833,0
116125,121833,0
117126,122833,0
118127,123833,0
119127,124833,0
120128,125816,0
121129,126833,0
122130,127833,0
123131,128833,0
124132,129833,0
125133,130833,0
126133,131833,0
127134,132833,0
128135,133849,0
129136,134849,0
130137,135849,0
131138,136833,0
132139,137833,0
133139,138833,0
134140,139833,0
135141,140849,0
136142,141849,0
137143,142849,0
138144,143849,0
139145,144849,0
140145,145849,0
141146,146849,0
142147,147849,0
143148,148849,0
144149,149849,0
145150,150849,0
146151,151849,0
147152,152849,0
148152,153849,0
149153,154849,0
150154,155866,0
151155,156866,0
152156,157866,0
153157,158866,0
154157,159866,0
155158,160866,0
156159,161849,0
157160,162849,0
158161,163866,0
159162,164866,0
160163,165866,0
161164,166866,0
162164,167866,0
163165,168866,0
164166,169866,0
165167,170866,0
166168,171883,0
167169,172866,0
168170,173866,0
169170,174866,0
170171,175866,0
171172,176866,0
172173,177883,0
173174,178883,0
174175,179883,0
175176,180883,0
176176,181883,0
177178,182883,0
178178,183883,0
179179,184866,0
179196,184899,0
