# Lining the impacts CSV up with the video.
#
# t_ms            this take's own clock - the column the impacts CSV also stamps
# obs_duration_ms OBS's output clock at that instant, in milliseconds
# rtt_ms          how long the round trip took, and so how much the row is worth
#
# video_time_ms = t_ms + offset. Fit the offset through the low-rtt rows rather
# than taking the first one: over a long take the two clocks drift apart, and a
# piecewise fit follows that where a single number cannot.
#
# Written by the devbench, which drove the recording itself - so the mp4 beside
# this file is OBS's whole output and the fitted offset needs no cut subtracted
# out of it. t_ms comes off the game's session clock read across the link, so a
# millisecond or two of the intercept is the socket rather than the picture; the
# slope is unaffected, because that error is the same on every row.
t_ms,obs_duration_ms,rtt_ms
-3472,0,0
-2472,733,0
-1456,1749,0
-439,2766,0
561,3766,0
1561,4766,0
2561,5766,0
3561,6766,0
4561,7766,0
5561,8766,0
6561,9766,0
7561,10766,0
8561,11766,0
9561,12766,0
10578,13783,0
11578,14783,0
12578,15783,0
13578,16783,0
14578,17783,0
15578,18783,0
16578,19783,0
17578,20783,0
18578,21783,0
19578,22783,0
20578,23783,0
21578,24783,0
22578,25783,0
23595,26799,0
24595,27799,0
25595,28799,0
26595,29799,0
27612,30816,0
28612,31816,0
29612,32816,0
30629,33833,0
31629,34833,0
32629,35833,0
33629,36833,0
34629,37833,0
35629,38833,0
36645,39849,0
37662,40866,0
38662,41866,0
39679,42883,0
40679,43883,0
41696,44899,0
42696,45916,0
43696,46899,0
44696,47899,0
45696,48899,0
46696,49899,0
47713,50916,0
48713,51916,0
49713,52916,0
50713,53916,0
51713,54916,0
52713,55916,0
53713,56916,0
54713,57916,0
55713,58916,0
56713,59916,0
57713,60916,0
58713,61916,0
59713,62916,0
60713,63916,0
61713,64916,0
62730,65933,0
63730,66933,0
64730,67933,0
65730,68933,0
66730,69933,0
67730,70933,0
68747,71949,0
69747,72966,0
70747,73949,0
71747,74949,0
72747,75949,0
73747,76949,0
74747,77949,0
75763,78983,0
76764,79966,0
77764,80966,0
78764,81966,0
79764,82966,0
80780,83983,0
81780,84983,0
82780,85983,0
83780,86983,0
84780,87983,0
85780,88983,0
86781,89983,0
87781,90983,0
88797,92016,0
89797,92999,0
90797,93999,0
91797,94999,0
92798,95999,0
93814,97016,0
94814,98033,0
95814,99016,0
96814,100016,0
97814,101016,0
98814,102016,0
99814,103016,0
100814,104016,0
101814,105016,0
102815,106033,0
103831,107033,0
104831,108033,0
105848,109049,0
106848,110049,0
107848,111066,0
108865,112066,0
109865,113066,0
110881,114083,0
111881,115099,0
112881,116083,0
113882,117083,0
114898,118099,0
115898,119099,0
116898,120099,0
117898,121116,0
118898,122099,0
119898,123099,0
120898,124099,0
121898,125099,0
122898,126099,0
123898,127099,0
124898,128099,0
125899,129116,0
126899,130116,0
127899,131099,0
128899,132099,0
129899,133099,0
130899,134099,0
131915,135116,0
132483,135683,0
