cut,source,kind,in_ms,out_ms,len_ms,inferred_slot,corr,note
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation3-loop.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation3.wav",loop,140,2648,2508,foley_cloth,0.92,foley_cloth; window swept for seam
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation3-long.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation3.wav",long,14,3000,2986,foley_cloth,0.92,"foley_cloth; full take, not seam-matched"
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation4-loop.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation4.wav",loop,120,2628,2508,foley_cloth,0.89,foley_cloth; window swept for seam
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation4-long.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation4.wav",long,24,2982,2958,foley_cloth,0.89,"foley_cloth; full take, not seam-matched"
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1_1-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1(1).wav",short,88,300,212,gore_wet,0.98,satellite @560ms -24dB; satellite @784ms -30dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1_1-s02.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1(1).wav",short,289,566,277,gore_wet,0.98,satellite @560ms -24dB; satellite @784ms -30dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1_1-long.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1(1).wav",long,88,566,478,gore_wet,0.98,satellite @560ms -24dB; satellite @784ms -30dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1.wav",single,154,602,448,gore_wet,0.96,satellite @596ms -21dB; satellite @768ms -26dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",short,54,554,500,gore_wet,0.96,satellite @666ms -33dB; satellite @714ms -24dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-s02.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",short,544,672,128,gore_wet,0.96,satellite @666ms -33dB; satellite @714ms -24dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-long.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",long,54,672,618,gore_wet,0.96,satellite @666ms -33dB; satellite @714ms -24dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation3-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation3.wav",single,17,654,637,gore_wet,0.99,satellite @654ms -31dB; satellite @810ms -33dB; satellite @894ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4_1-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4(1).wav",single,36,488,452,gore_wet,0.92,satellite @510ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",short,60,364,304,gore_wet,0.97,satellite @708ms -27dB; satellite @864ms -31dB
