take,actor,sex,interior,note,armour,t0,dur,n_rows,limb,site,side,cover,mass,limb_radius,v_first,v_peak,n_first,frame,tan_first,tan_peak,phase,body_speed,ang,layer,material,material_source,self_hit,cross_actor,hit_limb,nz,manifold_first,v_ms,ke,p
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,996.024,452.55499999999995,2,NPC L Hand [LHnd],hand,L,heavy,4.12,8.584,10.218,10.218,10.218,-1,18.743,18.743,ragdoll,110.595,2.585,DeadBip,Skin,shape,True,False,NPC Spine [Spn0],-0.1793,1.0,0.14599228461208746,0.043906319162488903,0.6014882126018004
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1094.613,101.856,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,19.08,19.08,19.08,-1,51.757,51.757,ragdoll,149.102,1.493,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.63,1.0,0.2726103729104158,0.07654590788090664,0.5615773681954566
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1237.296,59.00199999999995,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,15.065,15.065,15.065,-1,113.783,113.783,ragdoll,166.03,2.501,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.5601,1.0,0.21524503500500072,0.04772033784713311,0.4434047721103015
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1175.991,101.13699999999994,2,NPC L Hand [LHnd],hand,L,heavy,4.12,8.584,10.73,10.73,10.73,-1,65.41,65.41,ragdoll,169.507,4.781,DeadBip,Skin,shape,True,False,NPC Spine1 [Spn1],-0.6476,1.0,0.15330761537362483,0.04841664335898742,0.6316273753393343
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1353.494,37.90499999999997,2,NPC L Hand [LHnd],hand,L,heavy,4.12,8.584,83.194,83.194,83.194,-1,182.354,182.354,ragdoll,82.52,12.458,DeadBip,Skin,shape,True,False,NPC Spine1 [Spn1],-0.8792,1.0,1.1886555222174597,2.910578018026008,4.897260751535934
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1176.324,139.289,2,NPC R Forearm [RLar],arm,R,heavy,6.18,12.007,45.913,45.913,45.913,-1,38.457,38.457,ragdoll,76.677,1.145,DeadBip,Skin,shape,True,False,NPC Spine2 [Spn2],-0.5712,1.0,0.6559937133876268,1.3297127536926314,4.054041148735533
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1216.842,311.2099999999998,1,NPC L Thigh [LThg],leg,L,heavy,6.18,21.102,123.709,123.709,123.709,-1,189.984,189.984,ragdoll,144.517,5.784,Static,Carpet,shape,False,False,,1.0,1.0,1.7675239319902845,9.653595226989443,10.923297899699957
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1237.29,475.43600000000015,1,NPC R Thigh [RThg],leg,R,heavy,6.18,21.101,71.5,71.5,71.5,-1,219.365,219.365,ragdoll,155.558,6.87,Static,Carpet,shape,False,False,,1.0,1.0,1.0215745106443779,3.224768745666747,6.313330475782255
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1276.765,514.8399999999999,4,NPC R Hand [RHnd],hand,R,heavy,4.12,8.584,68.426,68.426,68.426,-1,72.387,72.391,ragdoll,128.163,6.924,DeadBip,Skin,shape,True,False,NPC R Calf [RClf],0.9198,1.0,0.9776539505643664,1.9689629289314723,4.0279342763251895
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1848.045,259.2289999999998,2,NPC R Hand [RHnd],hand,R,heavy,4.12,8.584,22.175,22.175,22.175,-1,84.156,84.156,ragdoll,73.047,3.885,DeadBip,Skin,shape,True,False,NPC R Calf [RClf],0.7963,1.0,0.3168309758536934,0.20678664655643153,1.3053436205172169
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1295.936,232.11400000000003,1,NPC R Thigh [RThg],leg,R,heavy,6.18,21.101,21.612,21.612,21.612,-1,92.627,92.627,ragdoll,51.185,3.671,Static,Wood,shape,False,False,,1.0,1.0,0.308786969567081,0.29462962305496215,1.9083034719245606
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1410.28,157.81600000000003,1,NPC L Hand [LHnd],hand,L,heavy,4.12,8.584,24.619,24.619,24.619,-1,39.587,39.587,ragdoll,64.149,6.455,Static,Wood,shape,False,False,,1.0,1.0,0.3517502500357194,0.2548801711043937,1.4492110301471641
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1732.9,431.9870000000001,1,NPC Head [Head],head,-,heavy,4.12,15.561,151.805,151.805,151.805,-1,14.81,14.81,ragdoll,153.846,2.921,Static,Carpet,shape,False,False,,1.0,1.0,2.1689527075296473,9.690973045850388,8.936085155022147
Lennald_the_Brash_Whiterun_Guard_impacts_log_1,Lennald_the_Brash_Whiterun_Guard,male,True,requested-capture two-actors (7/13): shoved into a second recorded actor - limb on another body,heavy,1828.845,569.0350000000001,2,NPC R Foot [Rft ],foot,R,heavy,3.09,10.311,81.207,81.207,81.207,-1,78.805,78.805,ragdoll,33.185,2.091,DeadBip,Skin,shape,True,False,NPC R Hand [RHnd],-0.9915,1.0,1.1602657522503215,2.0799046714805316,3.585221174453493
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,851.235,328.20500000000004,6,NPC R Thigh [RThg],leg,R,heavy,6.18,21.101,382.682,382.682,382.682,-1,1350.05,1478.454,ragdoll,2217.636,97.186,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.5692,1.0,5.467666809544221,92.37672525119167,33.790180882983286
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,851.236,0.45299999999997453,2,NPC R Thigh [RThg],leg,R,heavy,6.18,21.101,397.944,397.944,397.944,-1,1719.654,1719.654,ragdoll,2217.636,97.186,DeadBip,Skin,shape,True,False,NPC L Calf [LClf],0.8121,1.0,5.685726532361767,99.89193236047991,35.137789969995715
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1306.119,21.569000000000187,2,NPC R Thigh [RThg],leg,R,heavy,6.18,21.101,124.814,124.814,124.814,-1,244.806,244.806,ragdoll,475.682,33.75,DeadBip,Skin,shape,True,False,NPC L Calf [LClf],0.3727,1.0,1.783311901700243,9.826822136724328,11.020867552507502
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,3065.675,181.98199999999997,2,NPC R Thigh [RThg],leg,R,heavy,6.18,21.101,97.7,97.7,97.7,-1,55.436,55.436,ragdoll,70.127,4.015,DeadBip,Skin,shape,True,False,NPC L Calf [LClf],0.4284,1.0,1.3959137019574226,6.021096945635551,8.626746678096872
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1242.097,105.86300000000006,2,NPC R Calf [RClf],leg,R,heavy,6.18,20.265,658.146,658.146,658.146,-1,1402.607,1402.607,ragdoll,143.873,87.927,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.4475,1.0,9.40342906129447,273.231637362364,58.11319159879983
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,3104.651,101.57500000000027,2,NPC R Calf [RClf],leg,R,heavy,6.18,20.265,65.078,65.078,65.078,-1,45.438,45.438,ragdoll,77.996,5.211,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.3551,1.0,0.929818545506501,2.6714982101845792,5.746278611230176
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1263.309,0.51299999999992,2,NPC L Calf [LClf],leg,L,heavy,6.18,20.265,638.727,638.727,638.727,-1,973.036,973.036,ragdoll,1290.658,57.214,DeadBip,Skin,shape,True,False,NPC R Calf [RClf],-0.1415,1.0,9.125975139305615,257.3457747315626,56.3985263609087
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1284.56,43.12900000000013,2,NPC L Calf [LClf],leg,L,heavy,6.18,20.265,126.904,126.904,126.904,-1,246.56,246.56,ragdoll,1249.86,25.549,DeadBip,Skin,shape,True,False,NPC R Calf [RClf],-0.0435,1.0,1.8131733104729248,10.158676132277058,11.205411058722675
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1347.949,21.656999999999925,2,NPC L Calf [LClf],leg,L,heavy,6.18,20.265,129.455,129.455,129.455,-1,490.891,490.891,ragdoll,277.164,9.159,DeadBip,Skin,shape,True,False,NPC R Calf [RClf],0.6317,1.0,1.849621374482069,10.5711966174275,11.430660094299187
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1447.06,36.86200000000008,2,NPC L Calf [LClf],leg,L,heavy,6.18,20.265,95.147,95.147,95.147,-1,224.576,224.576,ragdoll,435.567,13.214,DeadBip,Skin,shape,True,False,NPC R Calf [RClf],0.7488,1.0,1.3594370624374912,5.710533601591607,8.401321045863694
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,3105.007,80.53200000000015,2,NPC L Calf [LClf],leg,L,heavy,6.18,20.265,10.054,10.054,10.054,-1,10.882,10.882,ragdoll,40.548,0.618,DeadBip,Skin,shape,True,False,NPC R Calf [RClf],-0.3038,1.0,0.1436490927275325,0.06376234109005958,0.8877513930561509
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1263.315,42.809999999999945,2,NPC L Thigh [LThg],leg,L,heavy,6.18,21.102,234.802,234.802,234.802,-1,925.979,925.979,ragdoll,676.905,21.304,DeadBip,Skin,shape,True,False,NPC R Foot [Rft ],0.4442,1.0,3.354793541934562,34.776836700828056,20.732624089155593
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,3308.66,98.43499999999995,2,NPC R Forearm [RLar],arm,R,heavy,6.18,12.007,9.182,9.182,9.182,-1,75.001,75.001,ragdoll,35.99,3.17,DeadBip,Skin,shape,True,False,NPC Spine1 [Spn1],-0.3918,1.0,0.1311901700242892,0.05318155959699589,0.8107552507501072
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1284.135,21.990999999999985,2,NPC R Forearm [RLar],arm,R,heavy,6.18,12.007,296.369,296.369,296.369,-1,364.656,364.656,ragdoll,1396.893,41.544,DeadBip,Skin,shape,True,False,NPC Spine2 [Spn2],0.0846,1.0,4.234447778254037,55.40539327909009,26.168887269609947
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,3025.227,19.83600000000024,2,NPC Spine1 [Spn1],torso,-,heavy,4.12,19.445,57.215,57.215,57.215,-1,126.79,126.79,ragdoll,55.52,3.208,DeadBip,Skin,shape,True,False,NPC R Hand [RHnd],0.2145,1.0,0.8174739248464067,1.3766230526758043,3.367992570367196
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,851.245,0.4500000000000455,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,468.678,468.678,468.678,-1,1060.943,1060.943,ragdoll,3480.735,70.4,DeadBip,-,-,True,False,NPC COM [COM ],-0.1077,1.0,6.696356622374625,46.186427774441114,13.79449464209173
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1118.335,103.49399999999991,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,269.475,269.475,269.475,-1,523.104,523.104,ragdoll,2315.97,10.33,DeadBip,-,-,True,False,NPC COM [COM ],-0.7242,1.0,3.8501928846978144,15.26870480685901,7.9313973424774975
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1537.555,18.398999999999887,2,NPC COM [COM ],torso,-,heavy,51.5,18.217,138.819,138.819,138.819,-1,195.92,195.92,ragdoll,502.947,2.502,DeadBip,Skin,shape,True,False,NPC L Forearm [LLar],0.3759,1.0,1.9834119159879984,101.29851283344196,102.14571367338192
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,2927.579,479.51800000000003,2,NPC COM [COM ],torso,-,heavy,51.5,18.217,41.468,41.468,41.468,-1,13.079,13.079,ragdoll,82.082,1.173,DeadBip,Skin,shape,True,False,NPC L Forearm [LLar],0.942,1.0,0.5924846406629519,9.03922977260381,30.512958994142025
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,851.246,0.4490000000000691,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,514.952,514.952,514.952,-1,1451.637,1451.637,ragdoll,3480.735,70.4,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.0318,1.0,7.357508215459352,55.75691495476841,15.156466923846265
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,871.358,20.512000000000057,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,1261.938,1261.938,1261.938,-1,1474.48,1474.48,ragdoll,2836.338,58.428,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.7255,1.0,18.030261465923708,334.84303838546055,37.14233861980284
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1179.45,20.326999999999998,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,91.668,91.668,91.668,-1,1226.138,1226.138,ragdoll,2278.467,60.605,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.9984,1.0,1.3097299614230606,1.7668543490047295,2.698043720531505
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1200.414,21.41599999999994,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,1294.051,1294.051,1294.051,-1,1686.351,1686.351,ragdoll,904.195,175.387,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.7649,1.0,18.48908415487927,352.1016198727939,38.08751335905129
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1222.331,19.7650000000001,2,NPC L Forearm [LLar],arm,L,heavy,2.06,12.007,568.054,568.054,568.054,-1,1480.792,1480.792,ragdoll,1526.681,83.303,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],0.8219,1.0,8.116216602371768,67.84916109471358,16.719406200885842
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1537.552,37.348000000000184,2,NPC L Thigh [LThg],leg,L,heavy,6.18,21.102,178.351,178.351,178.351,-1,112.945,112.945,ragdoll,435.25,7.903,DeadBip,Skin,shape,True,False,NPC L Forearm [LLar],0.3139,1.0,2.548235462208887,20.06492726995413,15.748095156450923
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,2907.852,461.21900000000005,2,NPC L Thigh [LThg],leg,L,heavy,6.18,21.102,46.257,46.257,46.257,-1,19.854,19.854,ragdoll,76.813,1.431,DeadBip,Skin,shape,True,False,NPC L Forearm [LLar],0.9553,1.0,0.6609087012430347,1.3497129621603525,4.084415773681954
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,851.248,0.4479999999999791,2,NPC L Hand [LHnd],hand,L,heavy,4.12,8.584,412.601,412.601,412.601,-1,928.559,928.559,ragdoll,3190.362,87.253,DeadBip,-,-,True,False,NPC COM [COM ],-0.4477,1.0,5.895142163166167,71.59056431531532,24.28798571224461
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1537.928,56.15299999999979,2,NPC L Hand [LHnd],hand,L,heavy,4.12,8.584,211.36,211.36,211.36,-1,153.655,153.655,ragdoll,605.022,29.697,DeadBip,-,-,True,False,NPC COM [COM ],-0.892,1.0,3.019859979997143,18.78628185550399,12.441823117588228
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,2966.351,459.8689999999997,2,NPC COM [COM ],torso,-,heavy,51.5,18.217,49.356,49.356,49.356,-1,11.52,11.52,ragdoll,82.198,1.032,DeadBip,Skin,shape,True,False,NPC L Hand [LHnd],0.9116,1.0,0.7051864552078869,12.805164367673127,36.317102443206174
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,851.248,0.4479999999999791,2,NPC L Hand [LHnd],hand,L,heavy,4.12,8.584,355.223,355.223,355.223,-1,1149.767,1149.767,ragdoll,3190.362,87.253,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],-0.2819,1.0,5.075339334190599,53.06368287579549,20.91039805686527
Lennald_the_Brash_Whiterun_Guard_impacts_log_2,Lennald_the_Brash_Whiterun_Guard,male,True,"requested-capture stack-both (8/13): dropped onto a second actor, both ragdolled - limp on limp",heavy,1537.927,95.9670000000001,2,NPC L Hand [LHnd],hand,L,heavy,4.12,8.584,287.298,287.298,287.298,-1,145.145,145.145,ragdoll,605.022,29.697,DeadBip,Skin,shape,True,False,NPC L Thigh [LThg],-0.6954,1.0,4.10484354907844,34.710465558566426,16.911955422203174
