import_name,best_slot,verdict,inferred_slot,alts,kind,source,in_ms,len_ms,centroid,tilt,corr,fails,note
unsorted__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation3-s01.wav,unsorted,RETRY,gore_wet,,single,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation3.wav",17,637,4059,-4.9,0.99,"-20 dB in 4 ms, slot wants 20-350; centroid 4059 Hz, slot wants 400-4000",satellite @654ms -31dB; satellite @810ms -33dB; satellite @894ms -31dB
unsorted__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s03.wav,unsorted,RETRY,gore_wet,surf_stone,short,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",466,248,4474,-43.8,0.97,"-20 dB in 18 ms, slot wants 20-350; centroid 4474 Hz, slot wants 400-4000",satellite @708ms -27dB; satellite @864ms -31dB
unsorted__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4_1-s01.wav,unsorted,RETRY,gore_wet,surf_stone,single,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4(1).wav",36,452,3733,-26.6,0.92,"-20 dB in 6 ms, slot wants 20-350",satellite @510ms -31dB
unsorted__a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1-s02.wav,unsorted,RETRY,imp_body,,short,Firefly_audio_a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1.wav,285,115,3993,21.1,0.75,"only 110 ms of event, slot wants 150-250; second contact at +43 ms (-16 dB), collides with imp_sub; 6 transients in lomid, slot wants 0-5",satellite @394ms -31dB
unsorted__bone_crack_impact_composite-s02.wav,unsorted,RETRY,imp_body,,short,bone_crack_impact-composite.wav,368,150,4119,13.2,1.0,"10 transients in lomid, slot wants 0-5",satellite @512ms -30dB
unsorted__continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1-long.wav,unsorted,RETRY,foley_cloth,,long,Firefly_audio_continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1.wav,34,9828,5063,-20.2,0.91,"envelope std 6.8 dB, too lumpy for a bed; transient 20.0 dB over the bed, must be smooth","foley_cloth; full take, not seam-matched"
unsorted__continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1-loop.wav,unsorted,RETRY,foley_cloth,,loop,Firefly_audio_continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1.wav,2980,2508,5266,-20.5,0.91,"envelope std 7.2 dB, too lumpy for a bed; transient 11.6 dB over the bed, must be smooth",foley_cloth; window swept for seam
unsorted__crunsh_gran_or_gore_split_at_half_has_two_sound-long.wav,unsorted,??,,,long,crunsh_gran_or gore-split-at-half-has-two-sound.wav,66,882,,,0.96,unknown slot,satellite @624ms -29dB; satellite @822ms -27dB
unsorted__crunsh_gran_or_gore_split_at_half_has_two_sound-s01.wav,unsorted,??,,,short,crunsh_gran_or gore-split-at-half-has-two-sound.wav,66,208,,,0.96,unknown slot,satellite @624ms -29dB; satellite @822ms -27dB
unsorted__crunsh_gran_or_gore_split_at_half_has_two_sound-s02.wav,unsorted,??,,,short,crunsh_gran_or gore-split-at-half-has-two-sound.wav,366,132,,,0.96,unknown slot,satellite @624ms -29dB; satellite @822ms -27dB
unsorted__crunsh_gran_or_gore_split_at_half_has_two_sound-s03.wav,unsorted,??,,,short,crunsh_gran_or gore-split-at-half-has-two-sound.wav,528,88,,,0.96,unknown slot,satellite @624ms -29dB; satellite @822ms -27dB
unsorted__crunsh_gran_or_gore_split_at_half_has_two_sound-s04.wav,unsorted,??,,,short,crunsh_gran_or gore-split-at-half-has-two-sound.wav,714,114,,,0.96,unknown slot,satellite @624ms -29dB; satellite @822ms -27dB
unsorted__crunsh_gran_or_gore_split_at_half_has_two_sound-s05.wav,unsorted,??,,,short,crunsh_gran_or gore-split-at-half-has-two-sound.wav,874,74,,,0.96,unknown slot,satellite @624ms -29dB; satellite @822ms -27dB
