import_name,best_slot,verdict,inferred_slot,alts,kind,source,in_ms,len_ms,centroid,tilt,corr,fails,note
imp_transient__a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1-s01.wav,imp_transient,RETRY,imp_body,"imp_transient, limb_tap",short,Firefly_audio_a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1.wav,135,163,3755,4.8,0.75,"-20 dB in 12 ms, slot wants 15-200",satellite @394ms -31dB
imp_transient__dull_muffled_thump_into_damp_soil_soft_dead_impac_variation1_1-s01.wav,imp_transient,RETRY,surf_soft,"imp_transient, limb_tap",single,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation1(1).wav",15,551,5412,8.7,1.0,"-20 dB in 6 ms, slot wants 15-200; centroid 5412 Hz, slot wants 300-3200",satellite @580ms -33dB
imp_transient__fish_slap_variation1-s01.wav,imp_transient,KEEP,imp_transient,"surf_stone, limb_tap",short,Firefly_audio_fish_slap_variation1.wav,274,118,5344,-25.8,0.98,,satellite @94ms -31dB; satellite @158ms -31dB; satellite @604ms -26dB
imp_transient__fish_slap_variation3-s01.wav,imp_transient,KEEP,imp_transient,"surf_stone, limb_tap",single,Firefly_audio_fish_slap_variation3.wav,34,138,6225,-31.4,0.83,,
imp_transient__fish_slap_variation4-s01.wav,imp_transient,KEEP,imp_transient,"surf_stone, limb_tap",single,Firefly_audio_fish_slap_variation4.wav,194,112,7044,-28.9,0.98,,satellite @300ms -28dB; satellite @394ms -23dB; satellite @498ms -21dB; satellite @588ms -29dB; satellite @736ms -25dB
imp_transient__hard_flat_impact_of_human_body_against_cold_stone_variation1-s01.wav,imp_transient,RETRY,surf_stone,"imp_transient, imp_body, limb_tap, gore_wet",single,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation1.wav,20,524,3747,8.0,0.96,"tilt +8.0 dB, too bass-led (max -2) — a body take, not a transient",
imp_transient__hard_knuckle_crack_against_a_wooden_board_one_sho_variation1-s01.wav,imp_transient,KEEP,imp_transient,limb_tap,short,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation1.wav",15,91,1814,-15.4,0.99,,
imp_transient__hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s01.wav,imp_transient,KEEP,imp_transient,limb_tap,short,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",343,67,2372,-24.7,0.96,,
imp_transient__hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s02.wav,imp_transient,KEEP,imp_transient,limb_tap,short,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",801,67,1772,-21.9,0.96,,
imp_transient__heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation4_1-s01.wav,imp_transient,RETRY,imp_body,"imp_transient, limb_tap",short,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation4(1).wav,236,302,4400,8.1,1.0,"centroid 4400 Hz, slot wants 800-4200",satellite @174ms -30dB
imp_transient__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1-s02.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone, limb_tap",short,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1.wav,186,298,5305,-25.9,0.95,"-20 dB in 12 ms, slot wants 20-350; centroid 5305 Hz, slot wants 400-4000",
imp_transient__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2-s01.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone",short,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2.wav,238,162,7964,-37.2,0.83,"only 114 ms of event, slot wants 200-400; centroid 7964 Hz, slot wants 400-4000",
imp_transient__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2-s02.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone, limb_tap",short,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2.wav,390,170,8254,-22.6,0.83,"centroid 8254 Hz, slot wants 400-4000",
imp_transient__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3-s01.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone",short,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3.wav,30,132,6048,-28.8,0.96,"only 110 ms of event, slot wants 200-400; centroid 6048 Hz, slot wants 400-4000",satellite @358ms -33dB; satellite @614ms -22dB; satellite @676ms -28dB
imp_transient__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3-s02.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone, limb_tap",short,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3.wav,152,142,6781,-25.5,0.96,"only 134 ms of event, slot wants 200-400; -20 dB in 16 ms, slot wants 20-350; centroid 6781 Hz, slot wants 400-4000",satellite @358ms -33dB; satellite @614ms -22dB; satellite @676ms -28dB
imp_transient__hitmarker_sound_single_short_crack_tap_critical_variation1-s01.wav,imp_transient,KEEP,imp_transient,"surf_stone, limb_tap",single,"Firefly_audio_hitmarker_sound,_single_short_crack_tap,_critical__variation1.wav",20,460,7644,-37.1,0.99,,
imp_transient__leg_of_raw_meat_dropped_flat_onto_a_bare_wooden_fl_variation2-s01.wav,imp_transient,RETRY,imp_body,imp_transient,short,Firefly_audio_leg_of_raw_meat_dropped_flat_onto_a_bare_wooden_fl_variation2.wav,44,276,4474,-0.0,0.95,"centroid 4474 Hz, slot wants 800-4200; tilt -0.0 dB, must lean low by 4+ (not a hiss)",
imp_transient__leg_of_raw_meat_dropped_flat_onto_a_bare_wooden_fl_variation2-s02.wav,imp_transient,RETRY,imp_body,"imp_transient, limb_tap",short,Firefly_audio_leg_of_raw_meat_dropped_flat_onto_a_bare_wooden_fl_variation2.wav,650,322,6169,4.1,0.95,"centroid 6169 Hz, slot wants 800-4200",
imp_transient__quick_impact_crushing_of_a_bundle_of_dry_celery_a_variation1-long.wav,imp_transient,RETRY,crunch_gran,"imp_transient, surf_stone",long,"Firefly_audio_quick_impact,_crushing_of_a_bundle_of_dry_celery_a_variation1.wav",90,616,8319,-24.3,0.95,"-20 dB in 14 ms, slot wants 30-400; centroid 8319 Hz, slot wants 500-4500; 6 transients in lomid, slot wants 15-99",satellite @710ms -26dB
imp_transient__quick_impact_crushing_of_a_bundle_of_dry_celery_a_variation1-s01.wav,imp_transient,RETRY,crunch_gran,"imp_transient, surf_stone, limb_tap",short,"Firefly_audio_quick_impact,_crushing_of_a_bundle_of_dry_celery_a_variation1.wav",90,190,8481,-23.0,0.95,"only 120 ms of event, slot wants 250-400; -20 dB in 14 ms, slot wants 30-400; centroid 8481 Hz, slot wants 500-4500; 2 transients in lomid, slot wants 15-99",satellite @710ms -26dB
imp_transient__sandbag_full_of_wet_sand_slammed_onto_packed_earth_variation2-s01.wav,imp_transient,RETRY,imp_body,"imp_transient, limb_tap",short,Firefly_audio_sandbag_full_of_wet_sand_slammed_onto_packed_earth_variation2.wav,27,117,3366,3.6,0.84,"only 112 ms of event, slot wants 150-250; tilt +3.6 dB, must lean low by 4+ (not a hiss)",satellite @434ms -34dB
imp_transient__sharp_dry_slap_of_a_heavy_leather_glove_onto_packe_variation1-s01.wav,imp_transient,KEEP,imp_transient,limb_tap,single,Firefly_audio_sharp_dry_slap_of_a_heavy_leather_glove_onto_packe_variation1.wav,36,206,5322,-10.3,0.99,,satellite @264ms -34dB
imp_transient__sharp_dry_slap_of_a_heavy_leather_glove_onto_packe_variation3-s01.wav,imp_transient,KEEP,imp_transient,"imp_body, limb_tap",single,Firefly_audio_sharp_dry_slap_of_a_heavy_leather_glove_onto_packe_variation3.wav,75,429,4826,-9.5,0.99,,satellite @498ms -33dB
imp_transient__sharp_dry_slap_of_a_heavy_leather_glove_onto_packe_variation4-s01.wav,imp_transient,KEEP*,imp_transient,"imp_body, surf_soft, limb_tap",single,Firefly_audio_sharp_dry_slap_of_a_heavy_leather_glove_onto_packe_variation4.wav,10,364,3817,-6.9,0.99,"second contact at +63 ms (-15 dB), collides with imp_sub",
imp_transient__side_of_raw_meat_dropped_flat_onto_a_bare_wooden_f_variation3-s01.wav,imp_transient,RETRY,imp_body,imp_transient,single,Firefly_audio_side_of_raw_meat_dropped_flat_onto_a_bare_wooden_f_variation3.wav,222,200,5943,5.8,0.99,"second contact at +49 ms (-8 dB), collides with imp_sub; centroid 5943 Hz, slot wants 800-4200",
imp_transient__small_sandbag_of_damp_sand_dropped_onto_packed_ear_variation1-s01.wav,imp_transient,RETRY,imp_body,"imp_transient, surf_stone, limb_tap",single,Firefly_audio_small_sandbag_of_damp_sand_dropped_onto_packed_ear_variation1.wav,29,179,5050,-3.5,0.98,"centroid 5050 Hz, slot wants 800-4200; tilt -3.5 dB, must lean low by 4+ (not a hiss)",satellite @202ms -31dB
imp_transient__small_sandbag_of_damp_sand_dropped_onto_packed_ear_variation2-s01.wav,imp_transient,RETRY,imp_body,"imp_transient, limb_tap",single,Firefly_audio_small_sandbag_of_damp_sand_dropped_onto_packed_ear_variation2.wav,6,184,5515,3.3,0.98,"centroid 5515 Hz, slot wants 800-4200; tilt +3.3 dB, must lean low by 4+ (not a hiss)",
imp_transient__twisting_a_handful_of_raw_chicken_bones_and_gristl_variation1-long.wav,imp_transient,RETRY,crunch_gran,"imp_transient, surf_stone",long,Firefly_audio_twisting_a_handful_of_raw_chicken_bones_and_gristl_variation1.wav,330,528,8391,-18.7,0.95,"only 186 ms of event, slot wants 250-400; -20 dB in 12 ms, slot wants 30-400; centroid 8391 Hz, slot wants 500-4500; 6 transients in lomid, slot wants 15-99",satellite @234ms -30dB
imp_transient__twisting_a_handful_of_raw_chicken_bones_and_gristl_variation1-s01.wav,imp_transient,RETRY,crunch_gran,"imp_transient, limb_tap",short,Firefly_audio_twisting_a_handful_of_raw_chicken_bones_and_gristl_variation1.wav,330,68,6756,-37.2,0.95,"only 54 ms of event, slot wants 250-400; -20 dB in 10 ms, slot wants 30-400; centroid 6756 Hz, slot wants 500-4500; 1 transients in lomid, slot wants 15-99",satellite @234ms -30dB
imp_transient__twisting_a_handful_of_raw_chicken_bones_and_gristl_variation1-s02.wav,imp_transient,RETRY,crunch_gran,"imp_transient, surf_stone",short,Firefly_audio_twisting_a_handful_of_raw_chicken_bones_and_gristl_variation1.wav,388,470,8394,-18.7,0.95,"only 186 ms of event, slot wants 250-400; -20 dB in 12 ms, slot wants 30-400; centroid 8394 Hz, slot wants 500-4500; 6 transients in lomid, slot wants 15-99",satellite @234ms -30dB
imp_transient__wet_squelch_of_raw_meat_and_offal_squeezed_hard_t_variation3-s01.wav,imp_transient,RETRY,gore_wet,"imp_transient, surf_stone",single,"Firefly_audio_wet_squelch_of_raw_meat_and_offal_squeezed_hard,_t_variation3.wav",22,196,7340,-38.7,0.73,"-20 dB in 18 ms, slot wants 20-350; centroid 7340 Hz, slot wants 400-4000",satellite @350ms -27dB; satellite @504ms -26dB
limb_tap__A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3-s01.wav,limb_tap,RETRY,imp_body,limb_tap,short,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3.wav",19,85,2281,16.7,0.99,"only 80 ms of event, slot wants 150-250",satellite @162ms -33dB
limb_tap__A_quick_light_forearm_tap_on_a_hard_floor_dry_an_variation1-s01.wav,limb_tap,KEEP,limb_tap,"imp_transient, surf_stone",single,"Firefly_audio_A_quick,_light_forearm_tap_on_a_hard_floor,_dry_an_variation1.wav",165,133,4048,-15.6,0.98,,satellite @120ms -33dB; satellite @292ms -27dB
limb_tap__A_quick_light_forearm_tap_on_a_hard_floor_dry_an_variation2-s01.wav,limb_tap,KEEP,limb_tap,"imp_transient, surf_stone",single,"Firefly_audio_A_quick,_light_forearm_tap_on_a_hard_floor,_dry_an_variation2.wav",437,161,3509,-24.6,0.97,,satellite @286ms -31dB; satellite @592ms -31dB
limb_tap__A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation2-s01.wav,limb_tap,KEEP,limb_tap,imp_transient,short,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation2.wav",22,170,4712,1.5,1.0,,
limb_tap__A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation2-s02.wav,limb_tap,KEEP,limb_tap,"imp_transient, surf_stone",short,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation2.wav",786,196,6551,-9.1,1.0,,
limb_tap__A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation3-s01.wav,limb_tap,KEEP,limb_tap,imp_transient,single,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation3.wav",20,206,6604,-3.8,1.0,,
limb_tap__dull_muffled_thump_into_damp_soil_soft_dead_impac_variation4-s01.wav,limb_tap,RETRY,surf_soft,limb_tap,single,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation4.wav",13,451,5054,16.7,1.0,"centroid 5054 Hz, slot wants 300-3200",
limb_tap__hard_knuckle_crack_against_a_wooden_board_one_sho_variation1-s02.wav,limb_tap,RETRY,imp_transient,limb_tap,short,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation1.wav",897,67,1365,-15.2,0.99,"centroid 1365 Hz, slot wants 1500-9000",
limb_tap__hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s03.wav,limb_tap,RETRY,imp_transient,limb_tap,short,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",926,60,1335,-2.7,0.96,"centroid 1335 Hz, slot wants 1500-9000; tilt -2.7 dB, too bass-led (max -6) — a body take, not a transient",
limb_tap__heavy_forearm_dropped_onto_packed_earth_single_qu_variation3-s01.wav,limb_tap,KEEP,limb_tap,,single,"Firefly_audio_heavy_forearm_dropped_onto_packed_earth,_single_qu_variation3.wav",57,455,5136,5.3,1.0,,satellite @506ms -31dB
limb_tap__heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation4-s01.wav,limb_tap,RETRY,imp_body,limb_tap,single,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation4.wav,17,481,5071,7.2,1.0,"-20 dB in 12 ms, slot wants 15-200; centroid 5071 Hz, slot wants 800-4200",
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation1-s01.wav,limb_tap,KEEP,limb_tap,"imp_transient, surf_stone",short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation1.wav",26,134,5708,-9.4,0.89,,
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation1-s02.wav,limb_tap,KEEP,limb_tap,"imp_transient, surf_stone",short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation1.wav",192,388,5758,-15.6,0.89,,
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation1-s03.wav,limb_tap,KEEP,limb_tap,imp_transient,short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation1.wav",842,104,5866,-13.6,0.89,,
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation2-s01.wav,limb_tap,KEEP,limb_tap,imp_transient,short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation2.wav",8,188,3993,-1.3,0.91,,satellite @190ms -27dB; satellite @432ms -28dB; satellite @676ms -32dB
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation2-s02.wav,limb_tap,KEEP,limb_tap,imp_transient,short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation2.wav",266,172,4558,-0.6,0.91,,satellite @190ms -27dB; satellite @432ms -28dB; satellite @676ms -32dB
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation2-s03.wav,limb_tap,KEEP,limb_tap,imp_transient,short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation2.wav",506,176,4740,0.0,0.91,,satellite @190ms -27dB; satellite @432ms -28dB; satellite @676ms -32dB
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation2-s04.wav,limb_tap,KEEP,limb_tap,imp_transient,short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation2.wav",739,189,4810,-6.0,0.91,,satellite @190ms -27dB; satellite @432ms -28dB; satellite @676ms -32dB
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation3-s01.wav,limb_tap,KEEP,limb_tap,"imp_transient, surf_stone",short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation3.wav",33,569,5058,-10.9,0.96,,satellite @716ms -27dB
limb_tap__light_quick_tap_of_a_forearm_against_a_hard_floor_variation3-s02.wav,limb_tap,KEEP,limb_tap,"imp_transient, surf_stone",short,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation3.wav",590,132,5475,-16.9,0.96,,satellite @716ms -27dB
limb_tap__limb_tap-s01.wav,limb_tap,KEEP,limb_tap,imp_transient,single,limb_tap.wav,22,214,6350,-2.5,1.0,,
limb_tap__quick_impact_crushing_of_a_bundle_of_dry_celery_a_variation1-s02.wav,limb_tap,RETRY,crunch_gran,limb_tap,short,"Firefly_audio_quick_impact,_crushing_of_a_bundle_of_dry_celery_a_variation1.wav",270,436,7708,-42.2,0.95,"-20 dB in 4 ms, slot wants 30-400; centroid 7708 Hz, slot wants 500-4500; 4 transients in lomid, slot wants 15-99",satellite @710ms -26dB
limb_tap__quick_light_tap_of_a_hand_on_packed_earth_one_sof_variation3-s01.wav,limb_tap,KEEP,limb_tap,,short,"Firefly_audio_quick_light_tap_of_a_hand_on_packed_earth,_one_sof_variation3.wav",4,112,4441,9.6,1.0,,
limb_tap__quick_light_tap_of_a_hand_on_packed_earth_one_sof_variation3-s02.wav,limb_tap,KEEP,limb_tap,,short,"Firefly_audio_quick_light_tap_of_a_hand_on_packed_earth,_one_sof_variation3.wav",543,109,6259,9.8,1.0,,
limb_tap__quick_light_tap_of_a_hand_on_packed_earth_one_sof_variation3-s03.wav,limb_tap,KEEP,limb_tap,,short,"Firefly_audio_quick_light_tap_of_a_hand_on_packed_earth,_one_sof_variation3.wav",886,94,4063,8.8,1.0,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1-s01.wav,limb_tap,KEEP,limb_tap,,short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1.wav",20,72,1759,13.5,0.97,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1-s02.wav,limb_tap,KEEP,limb_tap,imp_transient,short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1.wav",74,118,2388,-2.3,0.97,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1-s03.wav,limb_tap,KEEP,limb_tap,"imp_transient, surf_wood, surf_soft, gore_wet, settle_rest",short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1.wav",379,189,2616,-1.8,0.97,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1-s04.wav,limb_tap,KEEP,limb_tap,"imp_transient, imp_body, surf_soft",short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1.wav",828,156,2698,2.7,0.97,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1_1-s01.wav,limb_tap,KEEP,limb_tap,"imp_transient, imp_body, gore_wet",short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1(1).wav",20,248,3793,1.8,1.0,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1_1-s02.wav,limb_tap,KEEP,limb_tap,"imp_body, surf_wood, surf_soft, gore_wet, settle_rest",short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1(1).wav",239,167,2859,9.3,1.0,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1_1-s03.wav,limb_tap,KEEP,limb_tap,"imp_body, surf_wood, surf_soft, gore_wet, settle_rest",short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1(1).wav",394,214,3396,12.2,1.0,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1_1-s04.wav,limb_tap,KEEP,limb_tap,"imp_body, surf_soft",short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1(1).wav",606,194,3453,8.8,1.0,,
limb_tap__series_of_light_limb_taps_on_a_hard_floor_five_to_variation1_1-s05.wav,limb_tap,KEEP,limb_tap,imp_transient,short,"Firefly_audio_series_of_light_limb_taps_on_a_hard_floor,_five_to_variation1(1).wav",856,142,3918,2.5,1.0,,
limb_tap__single_hard_knuckle_crack_against_a_wooden_board_variation1-s01.wav,limb_tap,RETRY,imp_transient,limb_tap,short,"Firefly_audio_single_hard_knuckle_crack_against_a_wooden_board,__variation1.wav",32,130,981,3.5,0.99,"centroid 981 Hz, slot wants 1500-9000; tilt +3.5 dB, too bass-led (max -6) — a body take, not a transient",
limb_tap__small_dull_knock_of_a_knee_hitting_packed_dirt_qu_variation3-s01.wav,limb_tap,KEEP,limb_tap,"imp_body, surf_wood, surf_soft, gore_wet",short,"Firefly_audio_small_dull_knock_of_a_knee_hitting_packed_dirt,_qu_variation3.wav",22,264,2066,24.4,1.0,,
limb_tap__small_dull_knock_of_a_knee_hitting_packed_dirt_qu_variation3-s02.wav,limb_tap,KEEP,limb_tap,"imp_body, surf_soft",short,"Firefly_audio_small_dull_knock_of_a_knee_hitting_packed_dirt,_qu_variation3.wav",481,263,2128,20.7,1.0,,
limb_tap__small_dull_knock_of_a_knee_hitting_packed_dirt_qu_variation3_1-s01.wav,limb_tap,KEEP,limb_tap,imp_transient,single,"Firefly_audio_small_dull_knock_of_a_knee_hitting_packed_dirt,_qu_variation3(1).wav",519,261,6098,-0.8,1.0,,
limb_tap__soft_scuff_tap_of_a_boot_heel_clipping_stone_shor_variation1-s01.wav,limb_tap,KEEP,limb_tap,,single,"Firefly_audio_soft_scuff_tap_of_a_boot_heel_clipping_stone,_shor_variation1.wav",572,88,772,8.0,1.0,,
limb_tap__soft_scuff_tap_of_a_boot_heel_clipping_stone_shor_variation4-s01.wav,limb_tap,KEEP,limb_tap,,single,"Firefly_audio_soft_scuff_tap_of_a_boot_heel_clipping_stone,_shor_variation4.wav",514,80,979,6.7,1.0,,satellite @166ms -26dB; satellite @588ms -28dB
limb_tap__wet_squelch_of_raw_meat_and_offal_squeezed_hard_t_variation1-s02.wav,limb_tap,RETRY,gore_wet,limb_tap,short,"Firefly_audio_wet_squelch_of_raw_meat_and_offal_squeezed_hard,_t_variation1.wav",190,180,4727,-22.7,0.94,"-20 dB in 4 ms, slot wants 20-350; centroid 4727 Hz, slot wants 400-4000",
scrape_grain__A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation3-s01.wav,scrape_grain,RETRY,gore_wet,scrape_grain,single,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation3.wav",192,458,5778,2.5,0.98,"centroid 5778 Hz, slot wants 400-4000",
scrape_grain__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-long.wav,scrape_grain,RETRY,gore_wet,"surf_stone, scrape_grain",long,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",54,618,4766,-43.1,0.96,"centroid 4766 Hz, slot wants 400-4000",satellite @666ms -33dB; satellite @714ms -24dB
scrape_grain__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-s01.wav,scrape_grain,RETRY,gore_wet,"surf_stone, scrape_grain",short,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",54,500,4730,-43.5,0.96,"centroid 4730 Hz, slot wants 400-4000",satellite @666ms -33dB; satellite @714ms -24dB
scrape_grain__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-long.wav,scrape_grain,RETRY,gore_wet,"surf_stone, scrape_grain",long,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",60,654,4410,-38.8,0.97,"centroid 4410 Hz, slot wants 400-4000",satellite @708ms -27dB; satellite @864ms -31dB
scrape_grain__A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s01.wav,scrape_grain,RETRY,gore_wet,"surf_stone, scrape_grain",short,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",60,304,4488,-38.0,0.97,"only 122 ms of event, slot wants 200-400; centroid 4488 Hz, slot wants 400-4000",satellite @708ms -27dB; satellite @864ms -31dB
scrape_grain__sandbag_full_of_wet_sand_slammed_onto_packed_earth_variation1-s02.wav,scrape_grain,RETRY,imp_body,scrape_grain,short,Firefly_audio_sandbag_full_of_wet_sand_slammed_onto_packed_earth_variation1.wav,231,421,4520,10.4,0.96,"centroid 4520 Hz, slot wants 800-4200; 10 transients in lomid, slot wants 0-5",
scrape_loop__heavy_body_violently_sliding_and_scraping_along_gr_variation2-long.wav,scrape_loop,KEEP,scrape_loop,gore_wet,long,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation2.wav,20,9898,3135,18.6,0.99,,"scrape_loop; full take, not seam-matched"
settle_rest__loose_fabric_and_a_heavy_limb_slumping_to_rest_on_variation3-s01.wav,settle_rest,KEEP,settle_rest,"surf_wood, surf_soft, scrape_grain, gore_wet, head_impact",short,Firefly_audio_loose_fabric_and_a_heavy_limb_slumping_to_rest_on__variation3.wav,62,250,2462,9.4,0.99,,
settle_rest__loose_fabric_and_a_heavy_limb_slumping_to_rest_on_variation3-s02.wav,settle_rest,KEEP,settle_rest,"surf_wood, surf_soft, gore_wet, head_impact",short,Firefly_audio_loose_fabric_and_a_heavy_limb_slumping_to_rest_on__variation3.wav,301,377,2567,11.7,0.99,,
surf_soft__dull_muffled_thump_into_damp_soil_soft_dead_impac_variation1-s01.wav,surf_soft,KEEP,surf_soft,"imp_body, surf_wood, limb_tap, gore_wet, settle_rest",single,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation1.wav",64,212,2307,20.8,1.0,,
surf_soft__dull_muffled_thump_into_damp_soil_soft_dead_impac_variation2-s01.wav,surf_soft,KEEP,surf_soft,"imp_body, limb_tap, gore_wet, settle_rest",single,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation2.wav",35,233,3048,14.0,1.0,,satellite @262ms -29dB
surf_soft__heavy_body_dragged_slowly_across_rough_stone_low_variation1-long.wav,surf_soft,RETRY,scrape_loop,"surf_soft, gore_wet, settle_rest",long,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation1.wav",40,14938,2658,21.1,1.0,"tilt +21.1 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
surf_soft__heavy_limp_body_settling_onto_the_ground_soft_fin_variation4-s01.wav,surf_soft,RETRY,settle_rest,surf_soft,single,"Firefly_audio_heavy_limp_body_settling_onto_the_ground,_soft_fin_variation4.wav",129,417,2035,13.0,1.0,"-20 dB in 18 ms, slot wants 20-400",satellite @682ms -30dB
surf_soft__single_hollow_knock_on_a_thick_wooden_plank_floor_variation3-s03.wav,surf_soft,RETRY,surf_wood,"surf_soft, limb_tap",short,"Firefly_audio_single_hollow_knock_on_a_thick_wooden_plank_floor,_variation3.wav",675,267,680,42.7,1.0,"-20 dB in 18 ms, slot wants 20-160",
